(venv) athul@athul-Lenovo-YOGA-720-13IKB:~/Documents/Codes/AMAT-py3.9/AMAT/examples/mdpi-aerospace/smallsat-mission-concepts$ python section-4-7-venus-smallsat-performance-analysis-prd-1.py
RUN #: 137, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 19, EFPA: -5.19, SIGMA: 0.98, APO : 1867.66
RUN #: 138, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 83, EFPA: -5.20, SIGMA: 0.89, APO : 2255.82
RUN #: 139, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 1, EFPA: -5.20, SIGMA: -0.13, APO : 2241.08
RUN #: 140, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 162, EFPA: -5.18, SIGMA: 0.64, APO : 2054.18
RUN #: 141, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 26, EFPA: -5.20, SIGMA: 0.23, APO : 2139.24
RUN #: 142, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 35, EFPA: -5.20, SIGMA: -0.28, APO : 1959.63
RUN #: 143, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 66, EFPA: -5.20, SIGMA: 0.50, APO : 1917.67
RUN #: 144, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 116, EFPA: -5.17, SIGMA: 1.06, APO : 2196.33
RUN #: 145, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 167, EFPA: -5.26, SIGMA: 0.31, APO : 2646.16
RUN #: 146, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 19, EFPA: -5.20, SIGMA: -0.23, APO : 2026.76
RUN #: 147, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 173, EFPA: -5.15, SIGMA: -1.58, APO : 1995.73
RUN #: 148, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 68, EFPA: -5.20, SIGMA: 0.89, APO : 2121.68
RUN #: 149, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 162, EFPA: -5.20, SIGMA: 0.80, APO : 1931.29
RUN #: 150, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 151, EFPA: -5.21, SIGMA: 0.64, APO : 2438.80
RUN #: 151, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 38, EFPA: -5.20, SIGMA: 0.07, APO : 2107.68
RUN #: 152, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 16, EFPA: -5.17, SIGMA: 1.45, APO : 1958.81
RUN #: 153, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 1, EFPA: -5.18, SIGMA: -0.66, APO : 2132.87
RUN #: 154, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 85, EFPA: -5.18, SIGMA: -0.30, APO : 1954.68
RUN #: 155, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 160, EFPA: -5.27, SIGMA: -0.28, APO : 2634.71
RUN #: 156, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 114, EFPA: -5.19, SIGMA: -0.35, APO : 1921.86
RUN #: 157, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 2, EFPA: -5.23, SIGMA: -0.87, APO : 2254.68
RUN #: 158, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 127, EFPA: -5.23, SIGMA: -0.88, APO : 1945.71
RUN #: 159, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 81, EFPA: -5.25, SIGMA: 1.10, APO : 1706.10
RUN #: 160, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 197, EFPA: -5.21, SIGMA: -0.57, APO : 2050.32
RUN #: 161, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 62, EFPA: -5.19, SIGMA: 0.55, APO : 1878.74
RUN #: 162, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 76, EFPA: -5.22, SIGMA: -0.41, APO : 2030.29
RUN #: 163, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 197, EFPA: -5.20, SIGMA: -1.31, APO : 2070.63
RUN #: 164, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 61, EFPA: -5.22, SIGMA: -0.31, APO : 2180.37
RUN #: 165, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 109, EFPA: -5.19, SIGMA: 0.88, APO : 2066.71
RUN #: 166, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 97, EFPA: -5.20, SIGMA: -1.10, APO : 2083.01
RUN #: 167, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 146, EFPA: -5.21, SIGMA: -0.41, APO : 2037.05
RUN #: 168, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 137, EFPA: -5.24, SIGMA: -0.07, APO : 1989.03
RUN #: 169, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 167, EFPA: -5.26, SIGMA: -0.29, APO : 2161.27
RUN #: 170, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 155, EFPA: -5.21, SIGMA: 1.71, APO : 2264.22
RUN #: 171, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 25, EFPA: -5.25, SIGMA: 1.78, APO : 1902.32
RUN #: 172, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 12, EFPA: -5.23, SIGMA: -1.44, APO : 2025.61
RUN #: 173, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 83, EFPA: -5.17, SIGMA: 0.71, APO : 2138.35
RUN #: 174, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 53, EFPA: -5.18, SIGMA: 1.18, APO : 2187.29
RUN #: 175, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 40, EFPA: -5.21, SIGMA: 0.21, APO : 1860.61
RUN #: 176, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 14, EFPA: -5.19, SIGMA: 1.26, APO : 1971.80
RUN #: 177, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 99, EFPA: -5.17, SIGMA: 1.31, APO : 2295.72
RUN #: 178, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 48, EFPA: -5.20, SIGMA: -0.47, APO : 2304.55
RUN #: 179, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 50, EFPA: -5.20, SIGMA: 0.57, APO : 1806.77
RUN #: 180, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 152, EFPA: -5.19, SIGMA: 1.86, APO : 1885.43
RUN #: 181, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 125, EFPA: -5.19, SIGMA: -2.10, APO : 1939.80
RUN #: 182, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 197, EFPA: -5.23, SIGMA: -0.45, APO : 2021.97
