In [5]: run section-4-7-venus-smallsat-performance-analysis-prd.py
RUN #: 56, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 2, EFPA: -5.20, SIGMA: 1.80, APO : 2621.94
RUN #: 57, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 135, EFPA: -5.22, SIGMA: -0.28, APO : 1985.60
RUN #: 58, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 144, EFPA: -5.21, SIGMA: -0.96, APO : 1769.61
RUN #: 59, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 168, EFPA: -5.17, SIGMA: -1.03, APO : 1767.89
RUN #: 60, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 79, EFPA: -5.17, SIGMA: 0.43, APO : 1789.93
RUN #: 61, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 84, EFPA: -5.18, SIGMA: 1.07, APO : 2058.90
RUN #: 62, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 179, EFPA: -5.16, SIGMA: -0.11, APO : 1795.14
RUN #: 63, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 55, EFPA: -5.20, SIGMA: 1.35, APO : 1935.31
RUN #: 64, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 22, EFPA: -5.13, SIGMA: 0.62, APO : 1775.88
RUN #: 65, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 85, EFPA: -5.18, SIGMA: -0.40, APO : 1889.07
RUN #: 66, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 100, EFPA: -5.23, SIGMA: 1.22, APO : 3403.87
RUN #: 67, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 185, EFPA: -5.17, SIGMA: -1.03, APO : 1759.67
RUN #: 68, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 197, EFPA: -5.17, SIGMA: 0.44, APO : 1868.89
