In [6]: run section-3-7-mars-smallsat-performance-analysis-prd.py
RUN #: 63, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 685, EFPA: -9.33, SIGMA: -0.29, APO : 2320.92
RUN #: 64, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 163, EFPA: -9.33, SIGMA: -1.26, APO : 2036.23
RUN #: 65, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 447, EFPA: -9.19, SIGMA: -0.17, APO : 1829.65
RUN #: 66, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 218, EFPA: -9.26, SIGMA: 0.66, APO : 1930.13
RUN #: 67, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 944, EFPA: -9.29, SIGMA: 0.09, APO : 2349.11
RUN #: 68, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 725, EFPA: -9.26, SIGMA: 0.37, APO : 2686.11
RUN #: 69, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 18, EFPA: -9.22, SIGMA: 0.55, APO : 2316.23
RUN #: 70, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 518, EFPA: -9.31, SIGMA: -0.90, APO : 2110.22
RUN #: 71, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 191, EFPA: -9.16, SIGMA: 0.90, APO : 2726.72
RUN #: 72, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 585, EFPA: -9.27, SIGMA: 1.54, APO : 1525.12
RUN #: 73, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 765, EFPA: -9.28, SIGMA: -0.13, APO : 2456.10
RUN #: 74, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 77, EFPA: -9.09, SIGMA: -1.64, APO : 2123.39
RUN #: 75, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 131, EFPA: -9.19, SIGMA: -1.67, APO : 2123.65
RUN #: 76, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 526, EFPA: -9.28, SIGMA: -0.74, APO : 1924.55
RUN #: 77, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 219, EFPA: -9.23, SIGMA: 1.20, APO : 1695.12
