# Hgtkm   TotNDm3     H2NDm3     HeNDm3    CH4NDm3   Denskgm3     PresNm2    TempK   Zeta 
 240.0 4.7896E+21 3.8273E+21 8.9776E+20 6.4491E+19 2.0519E-05  1.0429E+01  157.70 1.0000
 245.0 4.2895E+21 3.4281E+21 8.0413E+20 5.7272E+19 1.8366E-05  9.3685E+00  158.19 1.0000
 250.0 3.8544E+21 3.0808E+21 7.2265E+20 5.1008E+19 1.6492E-05  8.4342E+00  158.49 1.0000
 255.0 3.4640E+21 2.7691E+21 6.4954E+20 4.5418E+19 1.4812E-05  7.5945E+00  158.79 1.0000
 260.0 3.1138E+21 2.4894E+21 5.8394E+20 4.0430E+19 1.3306E-05  6.8397E+00  159.10 1.0000
 265.0 2.7996E+21 2.2385E+21 5.2508E+20 3.5980E+19 1.1955E-05  6.1611E+00  159.40 1.0000
 270.0 2.5175E+21 2.0133E+21 4.7225E+20 3.2010E+19 1.0743E-05  5.5510E+00  159.70 1.0000
 275.0 2.2607E+21 1.8082E+21 4.2414E+20 2.8423E+19 9.6393E-06  4.9941E+00  160.00 1.0000
 280.0 2.0372E+21 1.6296E+21 3.8225E+20 2.5312E+19 8.6794E-06  4.5034E+00  160.11 1.0000
 285.0 1.8361E+21 1.4690E+21 3.4458E+20 2.2534E+19 7.8164E-06  4.0618E+00  160.23 1.0000
 290.0 1.6553E+21 1.3245E+21 3.1069E+20 2.0053E+19 7.0406E-06  3.6643E+00  160.34 1.0000
 295.0 1.4926E+21 1.1945E+21 2.8020E+20 1.7838E+19 6.3431E-06  3.3065E+00  160.45 1.0000
 300.0 1.3462E+21 1.0776E+21 2.5276E+20 1.5860E+19 5.7158E-06  2.9843E+00  160.56 1.0000
 305.0 1.2145E+21 9.7230E+20 2.2807E+20 1.4096E+19 5.1517E-06  2.6941E+00  160.68 1.0000
 310.0 1.0959E+21 8.7754E+20 2.0584E+20 1.2522E+19 4.6443E-06  2.4328E+00  160.79 1.0000
 315.0 9.8919E+20 7.9223E+20 1.8583E+20 1.1119E+19 4.1879E-06  2.1974E+00  160.90 1.0000
 320.0 8.8945E+20 7.1249E+20 1.6713E+20 9.8269E+18 3.7617E-06  1.9773E+00  161.02 1.0000
 325.0 8.0284E+20 6.4324E+20 1.5088E+20 8.7114E+18 3.3919E-06  1.7864E+00  161.16 1.0000
 330.0 7.2486E+20 5.8088E+20 1.3626E+20 7.7178E+18 3.0591E-06  1.6143E+00  161.31 1.0000
 335.0 6.5463E+20 5.2471E+20 1.2308E+20 6.8332E+18 2.7596E-06  1.4592E+00  161.45 1.0000
 340.0 5.9137E+20 4.7411E+20 1.1121E+20 6.0459E+18 2.4900E-06  1.3194E+00  161.60 1.0000
 345.0 5.3438E+20 4.2852E+20 1.0052E+20 5.3455E+18 2.2474E-06  1.1934E+00  161.75 1.0000
 350.0 4.8302E+20 3.8742E+20 9.0877E+19 4.7227E+18 2.0289E-06  1.0796E+00  161.89 1.0000
 355.0 4.3541E+20 3.4932E+20 8.1938E+19 4.1565E+18 1.8267E-06  9.7398E-01  162.02 1.0000
 360.0 3.9383E+20 3.1603E+20 7.4131E+19 3.6665E+18 1.6501E-06  8.8135E-01  162.09 1.0000
 365.0 3.5632E+20 2.8601E+20 6.7088E+19 3.2313E+18 1.4910E-06  7.9778E-01  162.16 1.0000
 370.0 3.2249E+20 2.5891E+20 6.0733E+19 2.8451E+18 1.3476E-06  7.2235E-01  162.23 1.0000
 375.0 2.9196E+20 2.3446E+20 5.4998E+19 2.5026E+18 1.2184E-06  6.5426E-01  162.31 1.0000
 380.0 2.6441E+20 2.1239E+20 4.9820E+19 2.1990E+18 1.1019E-06  5.9278E-01  162.38 1.0000
 385.0 2.3954E+20 1.9246E+20 4.5145E+19 1.9301E+18 9.9684E-07  5.3725E-01  162.45 1.0000
 390.0 2.1623E+20 1.7378E+20 4.0763E+19 1.6855E+18 8.9856E-07  4.8512E-01  162.50 1.0000
 395.0 1.9594E+20 1.5752E+20 3.6948E+19 1.4752E+18 8.1306E-07  4.3960E-01  162.50 1.0000
 400.0 1.7761E+20 1.4282E+20 3.3501E+19 1.2895E+18 7.3593E-07  3.9848E-01  162.50 1.0000
 405.0 1.6105E+20 1.2954E+20 3.0386E+19 1.1256E+18 6.6633E-07  3.6133E-01  162.50 1.0000
 410.0 1.4609E+20 1.1754E+20 2.7570E+19 9.8110E+17 6.0350E-07  3.2775E-01  162.50 1.0000
 415.0 1.3256E+20 1.0668E+20 2.5023E+19 8.5384E+17 5.4678E-07  2.9740E-01  162.50 1.0000
 420.0 1.2032E+20 9.6857E+19 2.2719E+19 7.4189E+17 4.9555E-07  2.6994E-01  162.50 1.0000
 425.0 1.0925E+20 8.7969E+19 2.0635E+19 6.4352E+17 4.4927E-07  2.4510E-01  162.50 1.0000
 430.0 9.9228E+19 7.9923E+19 1.8747E+19 5.5719E+17 4.0745E-07  2.2262E-01  162.50 1.0000
 435.0 9.0157E+19 7.2637E+19 1.7038E+19 4.8153E+17 3.6964E-07  2.0227E-01  162.50 1.0000
 440.0 8.1222E+19 6.5456E+19 1.5354E+19 4.1167E+17 3.3251E-07  1.8223E-01  162.50 1.0000
 445.0 7.3744E+19 5.9446E+19 1.3944E+19 3.5383E+17 3.0144E-07  1.6545E-01  162.50 1.0000
 450.0 6.6977E+19 5.4005E+19 1.2668E+19 3.0345E+17 2.7337E-07  1.5027E-01  162.50 1.0000
 455.0 6.0849E+19 4.9078E+19 1.1512E+19 2.5965E+17 2.4800E-07  1.3652E-01  162.50 1.0000
 460.0 5.5300E+19 4.4613E+19 1.0465E+19 2.2162E+17 2.2506E-07  1.2407E-01  162.50 1.0000
 465.0 5.0271E+19 4.0567E+19 9.5157E+18 1.8868E+17 2.0430E-07  1.1279E-01  162.50 1.0000
 470.0 4.5714E+19 3.6898E+19 8.6551E+18 1.6021E+17 1.8552E-07  1.0256E-01  162.50 1.0000
 475.0 4.1093E+19 3.3177E+19 7.7822E+18 1.3406E+17 1.6655E-07  9.3100E-02  164.10 1.0000
 480.0 3.7056E+19 2.9925E+19 7.0194E+18 1.1217E+17 1.4999E-07  8.4996E-02  166.13 1.0000
 485.0 3.3430E+19 2.7002E+19 6.3339E+18 9.3581E+16 1.3514E-07  7.7619E-02  168.17 1.0000
 490.0 3.0171E+19 2.4375E+19 5.7176E+18 7.7831E+16 1.2181E-07  7.0899E-02  170.21 1.0000
 495.0 2.7240E+19 2.2012E+19 5.1633E+18 6.4522E+16 1.0985E-07  6.4777E-02  172.24 1.0000
 500.0 2.4603E+19 1.9885E+19 4.6644E+18 5.3308E+16 9.9101E-08  5.9197E-02  174.27 1.0000
 505.0 2.2229E+19 1.7970E+19 4.2151E+18 4.3886E+16 8.9442E-08  5.4109E-02  176.31 1.0000
 510.0 2.0031E+19 1.6196E+19 3.7991E+18 3.5889E+16 8.0517E-08  4.9328E-02  178.36 1.0000
 515.0 1.8258E+19 1.4765E+19 3.4634E+18 2.9560E+16 7.3317E-08  4.5504E-02  180.51 1.0000
 520.0 1.6647E+19 1.3464E+19 3.1583E+18 2.4249E+16 6.6787E-08  4.1983E-02  182.67 1.0000
 525.0 1.5183E+19 1.2282E+19 2.8810E+18 1.9809E+16 6.0861E-08  3.8742E-02  184.82 1.0000
 530.0 1.3851E+19 1.1207E+19 2.6287E+18 1.6110E+16 5.5479E-08  3.5756E-02  186.97 1.0000
 535.0 1.2640E+19 1.0228E+19 2.3992E+18 1.3043E+16 5.0591E-08  3.3005E-02  189.12 1.0000
 540.0 1.1538E+19 9.3372E+18 2.1902E+18 1.0509E+16 4.6147E-08  3.0469E-02  191.27 1.0000
 545.0 1.0534E+19 8.5260E+18 1.9999E+18 8.4253E+15 4.2107E-08  2.8131E-02  193.42 1.0000
 550.0 9.6201E+18 7.7869E+18 1.8265E+18 6.7203E+15 3.8431E-08  2.5975E-02  195.57 1.0000
 555.0 8.7871E+18 7.1132E+18 1.6685E+18 5.3318E+15 3.5085E-08  2.3986E-02  197.71 1.0000
 560.0 8.0278E+18 6.4991E+18 1.5245E+18 4.2070E+15 3.2038E-08  2.2152E-02  199.86 1.0000
 565.0 7.3354E+18 5.9390E+18 1.3931E+18 3.3005E+15 2.9262E-08  2.0458E-02  202.00 1.0000
 570.0 6.7226E+18 5.4432E+18 1.2768E+18 2.5814E+15 2.6808E-08  1.8925E-02  203.89 1.0000
 575.0 6.2017E+18 5.0218E+18 1.1779E+18 2.0196E+15 2.4722E-08  1.7614E-02  205.71 1.0000
 580.0 5.7221E+18 4.6336E+18 1.0869E+18 1.5703E+15 2.2804E-08  1.6394E-02  207.52 1.0000
 585.0 5.2802E+18 4.2760E+18 1.0030E+18 1.2130E+15 2.1037E-08  1.5261E-02  209.33 1.0000
 590.0 4.8731E+18 3.9465E+18 9.2572E+17 9.3091E+14 1.9411E-08  1.4206E-02  211.14 1.0000
 595.0 4.4980E+18 3.6428E+18 8.5449E+17 7.0956E+14 1.7914E-08  1.3225E-02  212.95 1.0000
 600.0 4.1522E+18 3.3629E+18 7.8882E+17 5.3709E+14 1.6534E-08  1.2312E-02  214.76 1.0000
 605.0 3.8335E+18 3.1048E+18 7.2829E+17 4.0365E+14 1.5263E-08  1.1462E-02  216.57 1.0000
